epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,23.4498,1.52908,5.95098,8.75595,0.03304,5.4032,0.0027,0.84444,0.00814,0.00224,0,0,0,0,1.1585,6.30536,16.0185,0.03787,0,4e-05,4e-05,0.09604
2,26.041,1.85495,5.24381,7.26061,0.03852,4.91892,0.00084,0.5,0.00649,0.0029,0.00028,0.16667,0.00064,0.00041,1.63811,7.30632,14.5902,0.06026,0,8.99976e-05,8.99976e-05,0.09109
3,28.7895,1.63174,4.75056,4.37392,0.03545,4.45329,0.00074,0.44444,0.01084,0.00572,0,0,0,0,2.10978,17.6694,7.61333,0.08284,0,0.000139985,0.000139985,0.08614
4,31.4279,1.64596,4.26408,3.7851,0.03289,4.1505,0.00074,0.44444,0.0111,0.00467,0,0,0,0,2.23396,10.67,5.21606,0.08675,0,0.000189954,0.000189954,0.08119
5,34.0755,1.68061,4.16542,3.79068,0.03553,4.08678,0.00348,0.54444,0.02718,0.00542,0,0,0,0,2.64277,6.29819,4.37042,0.11494,0,0.000239896,0.000239896,0.0762399
6,36.5991,1.70624,3.98376,3.37963,0.03695,4.00705,0.00035,0.16667,0.00127,0.00014,0,0,0,0,3.49179,7.94195,4.11311,0.16533,0,0.000289803,0.000289803,0.0712898
7,39.1819,1.75707,3.76068,3.58276,0.03287,3.89991,0.00075,0.05556,0.00068,7e-05,0,0,0,0,4.2398,14.5914,4.31367,0.19713,0,0.000339668,0.000339668,0.0663397
8,41.6437,1.50526,3.80016,3.38167,0.03277,3.65168,0.0008,0.05556,0.01473,0.00295,0,0,0,0,4.47887,14.1694,4.21663,0.22112,0,0.000389482,0.000389482,0.0613895
9,44.285,1.73074,3.58659,3.08063,0.03623,3.63529,0.00163,0.21111,0.01583,0.00334,0,0,0,0,3.3591,9.1092,4.1368,0.15112,0,0.000439236,0.000439236,0.0564392
10,46.7283,1.6414,3.82195,3.17682,0.03269,3.71883,0.9541,0.05556,0.06773,0.01395,0,0,0,0,3.14778,13.3321,4.05409,0.14426,0,0.000488924,0.000488924,0.0514889
11,49.284,1.63056,3.61103,2.98665,0.03658,3.66556,0.09936,0.11111,0.08668,0.02732,0,0,0,0,2.54059,19.2092,3.81108,0.10666,0,0.000538536,0.000538536,0.0465385
12,51.9103,1.74589,3.29116,2.99181,0.03922,3.39565,0.43333,0.31409,0.21116,0.07738,0,0,0,0,2.32157,19.6507,3.96136,0.09953,0,0.000588065,0.000588065,0.0415881
13,54.4519,1.59404,3.16536,2.67773,0.03449,3.60329,0.44493,0.32222,0.31481,0.09185,0.00051,0.05556,0.00036,4e-05,2.24066,15.8008,3.91866,0.09711,0,0.000637502,0.000637502,0.0366375
14,57.1299,1.51801,3.60752,2.62678,0.03385,3.5209,0.64032,0.29496,0.37127,0.1619,0.00211,0.11111,0.00216,0.00037,2.17375,10.2554,2.77785,0.08834,0,0.00068684,0.00068684,0.0316868
15,59.6398,1.59661,3.35734,2.60406,0.03457,3.25624,0.27537,0.38564,0.25978,0.11972,0.00124,0.05556,0.00285,0.00046,1.85758,7.5355,3.11115,0.07035,0,0.00073607,0.00073607,0.0267361
16,62.1653,1.67456,3.44746,2.38292,0.03614,3.18199,0.17872,0.36156,0.12882,0.0392,0.01415,0.05556,0.004,0.0008,2.29517,7.27936,3.44148,0.08748,0,0.000785186,0.000785186,0.0217852
17,64.5959,1.8628,3.58915,2.58498,0.0412,3.1495,0.08747,0.31111,0.07421,0.02572,0.04095,0.11111,0.01052,0.00238,2.10295,6.81965,3.43155,0.08505,0,0.000834177,0.000834177,0.0168342
18,67.0387,1.89157,3.05661,2.3849,0.03806,2.95958,0.16854,0.21111,0.12075,0.05776,0.16302,0.11111,0.04896,0.01539,2.22931,6.67329,2.92466,0.09226,0,0.000883037,0.000883037,0.011883
19,69.4334,1.74349,3.26206,2.37462,0.03936,3.12572,0.18587,0.24594,0.17215,0.08217,0.24571,0.10825,0.06254,0.01978,2.19278,6.65327,2.70954,0.09099,0,0.000931758,0.000931758,0.00693176
20,71.9882,1.70926,3.41284,2.52664,0.03786,2.88339,0.23297,0.36667,0.16218,0.07308,0.12043,0.21111,0.05817,0.0227,1.91358,5.73703,3.30063,0.07097,0,0.000980332,0.000980332,0.00198033
21,74.4795,1.72785,3.39188,2.39222,0.03538,2.80844,0.28951,0.36667,0.2482,0.08839,0.13829,0.11111,0.08522,0.02986,1.96921,5.50314,3.58886,0.07489,0,0.000989183,0.000989183,0.000989183
22,76.9475,1.91336,3.33894,2.29386,0.04366,2.93442,0.16723,0.46667,0.19923,0.08226,0.17727,0.11111,0.08587,0.02305,2.13833,5.34558,4.1139,0.08493,0,0.000988079,0.000988079,0.000988079
23,79.3978,1.72597,3.02488,2.35952,0.03661,2.48883,0.29583,0.46667,0.24317,0.09284,0.08552,0.05556,0.01665,0.00773,2.19647,5.73471,3.45038,0.08593,0,0.000986922,0.000986922,0.000986922
24,81.9053,1.70895,3.31259,2.18694,0.03896,2.87714,0.46207,0.21111,0.20354,0.07874,0.23026,0.05556,0.06141,0.01934,2.25351,5.33464,2.93666,0.09038,0,0.000985711,0.000985711,0.000985711
25,84.4167,1.78938,3.19977,2.24121,0.03807,2.67745,0.56858,0.15556,0.22112,0.06879,0.56858,0.15556,0.16477,0.04035,2.13977,5.0651,3.37464,0.08344,0,0.000984449,0.000984449,0.000984449
26,86.8853,1.82993,2.98952,2.10085,0.04285,2.5977,0.40976,0.31111,0.26714,0.07553,0.96586,0.1,0.1347,0.03357,2.30575,5.17074,3.34778,0.09147,0,0.000983133,0.000983133,0.000983133
27,89.3534,1.76975,2.99268,1.98215,0.03727,2.20932,0.59606,0.21111,0.20144,0.07478,0.36438,0.21111,0.10723,0.02872,2.02509,5.03277,3.43197,0.08083,0,0.000981765,0.000981765,0.000981765
28,91.9518,1.74825,3.1348,2.16721,0.04168,2.71645,0.17683,0.19582,0.10519,0.0537,0.06199,0.05556,0.0158,0.0078,2.169,5.1883,3.42854,0.08828,0,0.000980345,0.000980345,0.000980345
29,94.3559,1.84759,3.10955,2.52609,0.03755,2.28948,0.27005,0.21111,0.12774,0.06375,0.66648,0.05556,0.03369,0.01867,2.30755,4.84339,3.34703,0.09346,0,0.000978873,0.000978873,0.000978873
30,96.8172,1.82474,3.12277,2.14723,0.04154,2.33746,0.18356,0.26667,0.19838,0.07746,0.70514,0.05556,0.06235,0.03578,2.56929,4.18497,3.19353,0.10344,0,0.000977349,0.000977349,0.000977349
31,99.2289,1.67779,3.14886,1.99555,0.03759,2.29785,0.78797,0.31111,0.4044,0.16024,0.56436,0.15556,0.13279,0.03589,2.32905,4.05943,2.88968,0.09665,0,0.000975773,0.000975773,0.000975773
32,101.864,1.61615,2.99906,2.24377,0.03364,2.33256,0.78076,0.45687,0.51009,0.20774,0.35561,0.15556,0.11427,0.04017,1.98666,4.04985,3.2149,0.08446,0,0.000974145,0.000974145,0.000974145
33,104.532,1.73846,2.87079,2.37228,0.03461,2.38357,0.81669,0.41111,0.46281,0.18521,0.74433,0.05556,0.06225,0.0298,1.96389,4.37147,3.33927,0.08299,0,0.000972466,0.000972466,0.000972466
34,107.072,1.64585,2.88108,1.99592,0.04105,1.9617,0.44646,0.31111,0.36498,0.1324,0.72404,0.05556,0.0473,0.01748,2.00352,4.54273,3.34804,0.08111,0,0.000970736,0.000970736,0.000970736
35,109.566,1.69984,2.82905,2.03073,0.03396,2.51868,0.37544,0.24595,0.22476,0.08625,0.67415,0.05556,0.03861,0.01991,2.19349,4.57941,3.39623,0.0873,0,0.000968955,0.000968955,0.000968955
